# Normalized template points (x,y)
0.5,0.5
0.5,0.5
0.5,0.5
0.5,0.5
0.5,0.5
0.5,0.5
0.5,0.5
0.5,0.5
0.5,0.461518
0.5,0.390612
0.5,0.3306
0.5,0.279808
0.5,0.23682
0.5,0.200436
0.5,0.169641
0.5,0.143578
0.5,0.12152
0.5,0.10285
0.5,0.0870484
0.5,0.0736746
0.5,0.0623556
0.5,0.0527755
0.5,0.0446673
0.5,0.0378048
0.5,0.0319966
0.5,0.0270808
0.5,0.0229202
0.5,0.0193988
0.5,0.0164185
0.5,0.013896
0.5,0.0117611
0.5,0.00995415
0.5,0.00842484
0.5,0.00713048
0.5,0.00603498
0.5,0.00510779
0.5,0.00432305
0.5,0.00365887
0.5,0.00309674
0.5,0.00262097
0.5,0.00221829
0.5,0.00187748
0.5,0.00158903
0.5,0.0013449
0.5,0.00113828
0.5,0.000963396
0.5,0.000815384
0.5,0.000690112
0.5,0.000584086
0.5,0.000494349
0.5,0.000418399
0.5,0.000354118
0.5,0.000299713
0.5,0.000253666
0.5,0.000214694
0.5,0.000181709
0.5,0.000153792
0.5,0.000130164
0.5,0.000110166
0.5,9.32407e-05
0.5,7.89156e-05
0.5,6.67913e-05
0.5,5.65298e-05
0.5,4.78448e-05
0.5,4.04941e-05
0.5,3.42727e-05
0.5,2.90072e-05
0.5,2.45507e-05
0.5,2.07788e-05
0.5,1.75864e-05
0.5,1.48845e-05
0.5,1.25977e-05
